metric,value
raw_tag_accuracy,0.928106
raw_entity_micro_precision,0.500000
raw_entity_micro_recall,0.606383
raw_entity_micro_f1,0.548077
raw_entity_micro_tp,57.000000
raw_entity_micro_fp,57.000000
raw_entity_micro_fn,37.000000
raw_PER_precision,0.692308
raw_PER_recall,0.720000
raw_PER_f1,0.705882
raw_PER_tp,18.000000
raw_PER_fp,8.000000
raw_PER_fn,7.000000
raw_LOC_precision,0.500000
raw_LOC_recall,0.733333
raw_LOC_f1,0.594595
raw_LOC_tp,33.000000
raw_LOC_fp,33.000000
raw_LOC_fn,12.000000
raw_ORG_precision,0.272727
raw_ORG_recall,0.250000
raw_ORG_f1,0.260870
raw_ORG_tp,6.000000
raw_ORG_fp,16.000000
raw_ORG_fn,18.000000
final_tag_accuracy,0.965185
final_entity_micro_precision,0.810811
final_entity_micro_recall,0.638298
final_entity_micro_f1,0.714286
final_entity_micro_tp,60.000000
final_entity_micro_fp,14.000000
final_entity_micro_fn,34.000000
final_PER_precision,0.863636
final_PER_recall,0.760000
final_PER_f1,0.808511
final_PER_tp,19.000000
final_PER_fp,3.000000
final_PER_fn,6.000000
final_LOC_precision,0.815789
final_LOC_recall,0.688889
final_LOC_f1,0.746988
final_LOC_tp,31.000000
final_LOC_fp,7.000000
final_LOC_fn,14.000000
final_ORG_precision,0.714286
final_ORG_recall,0.416667
final_ORG_f1,0.526316
final_ORG_tp,10.000000
final_ORG_fp,4.000000
final_ORG_fn,14.000000
