rank_id,tag,feature_mode,ngram_range,min_df,max_df,max_features,sublinear_tf,seed,n_init,n_samples,n_clusters,vocab_size,acc,nmi,ari,silhouette_cosine,elapsed_seconds,cluster_to_label_mapping
5,800,char,"(2, 3)",1,0.9,40000,True,52,50,800,4,40000,0.84875,0.747305,0.675632,,7.1232,"{0: 0, 1: 1, 2: 2, 3: 3}"
14,800,char,"(2, 3)",1,0.95,40000,True,52,50,800,4,40000,0.84875,0.747305,0.675632,,14.4771,"{0: 0, 1: 1, 2: 2, 3: 3}"
41,800,char,"(2, 3)",3,0.9,40000,True,52,50,800,4,40000,0.84875,0.747305,0.675632,,12.0649,"{0: 0, 1: 1, 2: 2, 3: 3}"
50,800,char,"(2, 3)",3,0.95,40000,True,52,50,800,4,40000,0.84875,0.747305,0.675632,,17.5534,"{0: 0, 1: 1, 2: 2, 3: 3}"
93,800,char,"(2, 4)",3,0.9,30000,True,66,50,800,4,30000,0.84875,0.747305,0.675632,,20.6928,"{0: 1, 1: 0, 2: 2, 3: 3}"
102,800,char,"(2, 4)",3,0.95,30000,True,66,50,800,4,30000,0.84875,0.747305,0.675632,,16.5484,"{0: 1, 1: 0, 2: 2, 3: 3}"
91,800,char,"(2, 4)",3,0.9,30000,True,42,50,800,4,30000,0.8475,0.744714,0.672097,,16.1578,"{0: 2, 1: 0, 2: 3, 3: 1}"
100,800,char,"(2, 4)",3,0.95,30000,True,42,50,800,4,30000,0.8475,0.744714,0.672097,,17.6474,"{0: 2, 1: 0, 2: 3, 3: 1}"
38,800,char,"(2, 3)",3,0.9,30000,True,52,50,800,4,30000,0.8475,0.743737,0.671841,,10.2261,"{0: 0, 1: 1, 2: 2, 3: 3}"
47,800,char,"(2, 3)",3,0.95,30000,True,52,50,800,4,30000,0.8475,0.743737,0.671841,,11.0381,"{0: 0, 1: 1, 2: 2, 3: 3}"
78,800,char,"(2, 4)",2,0.9,40000,True,66,50,800,4,40000,0.8475,0.743737,0.671841,,15.6207,"{0: 1, 1: 0, 2: 2, 3: 3}"
87,800,char,"(2, 4)",2,0.95,40000,True,66,50,800,4,40000,0.8475,0.743737,0.671841,,17.828,"{0: 1, 1: 0, 2: 2, 3: 3}"
92,800,char,"(2, 4)",3,0.9,30000,True,52,50,800,4,30000,0.8475,0.743737,0.671841,,17.3886,"{0: 0, 1: 3, 2: 2, 3: 1}"
101,800,char,"(2, 4)",3,0.95,30000,True,52,50,800,4,30000,0.8475,0.743737,0.671841,,16.6226,"{0: 0, 1: 3, 2: 2, 3: 1}"
8,800,char,"(2, 3)",1,0.9,60000,True,52,50,800,4,60000,0.84625,0.744194,0.66804,,8392.5857,"{0: 2, 1: 1, 2: 0, 3: 3}"
17,800,char,"(2, 3)",1,0.95,60000,True,52,50,800,4,60000,0.84625,0.744194,0.66804,,13.1402,"{0: 2, 1: 1, 2: 0, 3: 3}"
94,800,char,"(2, 4)",3,0.9,40000,True,42,50,800,4,40000,0.84625,0.744194,0.66804,,22.2191,"{0: 2, 1: 0, 2: 3, 3: 1}"
103,800,char,"(2, 4)",3,0.95,40000,True,42,50,800,4,40000,0.84625,0.744194,0.66804,,18.1432,"{0: 2, 1: 0, 2: 3, 3: 1}"
23,800,char,"(2, 3)",2,0.9,40000,True,52,50,800,4,40000,0.84625,0.74218,0.668583,,14.2974,"{0: 2, 1: 1, 2: 0, 3: 3}"
32,800,char,"(2, 3)",2,0.95,40000,True,52,50,800,4,40000,0.84625,0.74218,0.668583,,12.2911,"{0: 2, 1: 1, 2: 0, 3: 3}"
44,800,char,"(2, 3)",3,0.9,60000,True,52,50,800,4,48415,0.84625,0.74218,0.668583,,12.7301,"{0: 2, 1: 1, 2: 0, 3: 3}"
53,800,char,"(2, 3)",3,0.95,60000,True,52,50,800,4,48415,0.84625,0.74218,0.668583,,12.8182,"{0: 2, 1: 1, 2: 0, 3: 3}"
95,800,char,"(2, 4)",3,0.9,40000,True,52,50,800,4,40000,0.84625,0.74218,0.668583,,19.328,"{0: 2, 1: 1, 2: 0, 3: 3}"
104,800,char,"(2, 4)",3,0.95,40000,True,52,50,800,4,40000,0.84625,0.74218,0.668583,,18.7209,"{0: 2, 1: 1, 2: 0, 3: 3}"
58,800,char,"(2, 4)",1,0.9,40000,True,42,50,800,4,40000,0.84625,0.740322,0.668072,,16.0097,"{0: 0, 1: 1, 2: 3, 3: 2}"
67,800,char,"(2, 4)",1,0.95,40000,True,42,50,800,4,40000,0.84625,0.740322,0.668072,,16.1544,"{0: 0, 1: 1, 2: 3, 3: 2}"
73,800,char,"(2, 4)",2,0.9,30000,True,42,50,800,4,30000,0.84625,0.740322,0.668072,,14.4723,"{0: 0, 1: 1, 2: 3, 3: 2}"
74,800,char,"(2, 4)",2,0.9,30000,True,52,50,800,4,30000,0.84625,0.740322,0.668072,,14.706,"{0: 0, 1: 3, 2: 2, 3: 1}"
77,800,char,"(2, 4)",2,0.9,40000,True,52,50,800,4,40000,0.84625,0.740322,0.668072,,15.8045,"{0: 0, 1: 3, 2: 2, 3: 1}"
82,800,char,"(2, 4)",2,0.95,30000,True,42,50,800,4,30000,0.84625,0.740322,0.668072,,18.0639,"{0: 0, 1: 1, 2: 3, 3: 2}"
83,800,char,"(2, 4)",2,0.95,30000,True,52,50,800,4,30000,0.84625,0.740322,0.668072,,17.4706,"{0: 0, 1: 3, 2: 2, 3: 1}"
86,800,char,"(2, 4)",2,0.95,40000,True,52,50,800,4,40000,0.84625,0.740322,0.668072,,18.7667,"{0: 0, 1: 3, 2: 2, 3: 1}"
97,800,char,"(2, 4)",3,0.9,60000,True,42,50,800,4,60000,0.845,0.739676,0.663954,,21.1009,"{0: 3, 1: 1, 2: 0, 3: 2}"
98,800,char,"(2, 4)",3,0.9,60000,True,52,50,800,4,60000,0.845,0.739676,0.663954,,20.596,"{0: 0, 1: 3, 2: 2, 3: 1}"
106,800,char,"(2, 4)",3,0.95,60000,True,42,50,800,4,60000,0.845,0.739676,0.663954,,21.1179,"{0: 3, 1: 1, 2: 0, 3: 2}"
107,800,char,"(2, 4)",3,0.95,60000,True,52,50,800,4,60000,0.845,0.739676,0.663954,,20.0866,"{0: 0, 1: 3, 2: 2, 3: 1}"
22,800,char,"(2, 3)",2,0.9,40000,True,42,50,800,4,40000,0.845,0.738605,0.664786,,12.1563,"{0: 2, 1: 3, 2: 1, 3: 0}"
31,800,char,"(2, 3)",2,0.95,40000,True,42,50,800,4,40000,0.845,0.738605,0.664786,,12.3899,"{0: 2, 1: 3, 2: 1, 3: 0}"
1,800,char,"(2, 3)",1,0.9,30000,True,42,50,800,4,30000,0.845,0.737724,0.664531,,18.3057,"{0: 2, 1: 3, 2: 1, 3: 0}"
2,800,char,"(2, 3)",1,0.9,30000,True,52,50,800,4,30000,0.845,0.737724,0.664531,,5.6992,"{0: 0, 1: 1, 2: 2, 3: 3}"
10,800,char,"(2, 3)",1,0.95,30000,True,42,50,800,4,30000,0.845,0.737724,0.664531,,6.454,"{0: 2, 1: 3, 2: 1, 3: 0}"
11,800,char,"(2, 3)",1,0.95,30000,True,52,50,800,4,30000,0.845,0.737724,0.664531,,10.0402,"{0: 0, 1: 1, 2: 2, 3: 3}"
59,800,char,"(2, 4)",1,0.9,40000,True,52,50,800,4,40000,0.845,0.737724,0.664531,,15.5853,"{0: 0, 1: 3, 2: 2, 3: 1}"
61,800,char,"(2, 4)",1,0.9,60000,True,42,50,800,4,60000,0.845,0.737724,0.664531,,17.7694,"{0: 0, 1: 1, 2: 3, 3: 2}"
62,800,char,"(2, 4)",1,0.9,60000,True,52,50,800,4,60000,0.845,0.737724,0.664531,,17.6324,"{0: 0, 1: 3, 2: 2, 3: 1}"
68,800,char,"(2, 4)",1,0.95,40000,True,52,50,800,4,40000,0.845,0.737724,0.664531,,15.9154,"{0: 0, 1: 3, 2: 2, 3: 1}"
70,800,char,"(2, 4)",1,0.95,60000,True,42,50,800,4,60000,0.845,0.737724,0.664531,,17.6528,"{0: 0, 1: 1, 2: 3, 3: 2}"
71,800,char,"(2, 4)",1,0.95,60000,True,52,50,800,4,60000,0.845,0.737724,0.664531,,17.72,"{0: 0, 1: 3, 2: 2, 3: 1}"
96,800,char,"(2, 4)",3,0.9,40000,True,66,50,800,4,40000,0.845,0.737724,0.664531,,18.5999,"{0: 2, 1: 0, 2: 3, 3: 1}"
105,800,char,"(2, 4)",3,0.95,40000,True,66,50,800,4,40000,0.845,0.737724,0.664531,,17.7657,"{0: 2, 1: 0, 2: 3, 3: 1}"
25,800,char,"(2, 3)",2,0.9,60000,True,42,50,800,4,60000,0.845,0.73616,0.664716,,15.0573,"{0: 0, 1: 1, 2: 2, 3: 3}"
34,800,char,"(2, 3)",2,0.95,60000,True,42,50,800,4,60000,0.845,0.73616,0.664716,,14.099,"{0: 0, 1: 1, 2: 2, 3: 3}"
3,800,char,"(2, 3)",1,0.9,30000,True,66,50,800,4,30000,0.84375,0.737187,0.660447,,5.9019,"{0: 2, 1: 3, 2: 0, 3: 1}"
12,800,char,"(2, 3)",1,0.95,30000,True,66,50,800,4,30000,0.84375,0.737187,0.660447,,10.1816,"{0: 2, 1: 3, 2: 0, 3: 1}"
24,800,char,"(2, 3)",2,0.9,40000,True,66,50,800,4,40000,0.84375,0.737187,0.660447,,10.8787,"{0: 2, 1: 3, 2: 0, 3: 1}"
33,800,char,"(2, 3)",2,0.95,40000,True,66,50,800,4,40000,0.84375,0.737187,0.660447,,11.6068,"{0: 2, 1: 3, 2: 0, 3: 1}"
26,800,char,"(2, 3)",2,0.9,60000,True,52,50,800,4,60000,0.84375,0.735183,0.661012,,14.5206,"{0: 0, 1: 1, 2: 2, 3: 3}"
