rank_id,feature_mode,max_df,min_df,ngram_range,max_features,sublinear_tf,n_init,seed,vocab_size,nmi,ari,acc,silhouette_cosine
53,char,0.75,3,"(2, 4)",20000.0,True,60,52,20000,0.730531,0.639469,0.831818,0.062024
59,char,0.75,3,"(2, 4)",20000.0,True,80,52,20000,0.730531,0.639469,0.831818,0.062024
77,char,0.8,3,"(2, 4)",20000.0,True,60,52,20000,0.730531,0.639469,0.831818,0.062024
83,char,0.8,3,"(2, 4)",20000.0,True,80,52,20000,0.730531,0.639469,0.831818,0.062024
61,char,0.75,4,"(2, 4)",20000.0,True,60,41,20000,0.723557,0.627497,0.827273,0.062696
67,char,0.75,4,"(2, 4)",20000.0,True,80,41,20000,0.723557,0.627497,0.827273,0.062696
85,char,0.8,4,"(2, 4)",20000.0,True,60,41,20000,0.723557,0.627497,0.827273,0.062696
91,char,0.8,4,"(2, 4)",20000.0,True,80,41,20000,0.723557,0.627497,0.827273,0.062696
49,char,0.75,3,"(2, 4)",20000.0,True,60,41,20000,0.723557,0.627497,0.827273,0.061932
55,char,0.75,3,"(2, 4)",20000.0,True,80,41,20000,0.723557,0.627497,0.827273,0.061932
73,char,0.8,3,"(2, 4)",20000.0,True,60,41,20000,0.723557,0.627497,0.827273,0.061932
79,char,0.8,3,"(2, 4)",20000.0,True,80,41,20000,0.723557,0.627497,0.827273,0.061932
50,char,0.75,3,"(2, 4)",30000.0,True,60,41,30000,0.723557,0.627497,0.827273,0.054193
56,char,0.75,3,"(2, 4)",30000.0,True,80,41,30000,0.723557,0.627497,0.827273,0.054193
74,char,0.8,3,"(2, 4)",30000.0,True,60,41,30000,0.723557,0.627497,0.827273,0.054193
80,char,0.8,3,"(2, 4)",30000.0,True,80,41,30000,0.723557,0.627497,0.827273,0.054193
62,char,0.75,4,"(2, 4)",30000.0,True,60,41,27716,0.719532,0.621366,0.825,0.056727
68,char,0.75,4,"(2, 4)",30000.0,True,80,41,27716,0.719532,0.621366,0.825,0.056727
86,char,0.8,4,"(2, 4)",30000.0,True,60,41,27716,0.719532,0.621366,0.825,0.056727
