model,n_clusters_pred,acc,nmi,ari,silhouette_cosine,cluster_to_label_mapping,batch_size,n_init,max_iter,reassignment_ratio,elapsed_seconds
MiniBatchKMeans,4,0.83375,0.71744,0.630637,0.049368,"{np.int32(0): np.int64(1), np.int32(1): np.int64(3), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",256,20,300,0.0,3.5016
MiniBatchKMeans,4,0.83375,0.71744,0.630637,0.049368,"{np.int32(0): np.int64(1), np.int32(1): np.int64(3), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",256,20,500,0.0,3.7476
MiniBatchKMeans,4,0.7425,0.61615,0.440873,0.045756,"{np.int32(0): np.int64(2), np.int32(1): np.int64(3), np.int32(2): np.int64(1), np.int32(3): np.int64(0)}",128,50,300,0.0,5.6201
MiniBatchKMeans,4,0.7425,0.61615,0.440873,0.045756,"{np.int32(0): np.int64(2), np.int32(1): np.int64(3), np.int32(2): np.int64(1), np.int32(3): np.int64(0)}",128,50,500,0.0,4.7619
MiniBatchKMeans,4,0.69875,0.597998,0.404863,0.047647,"{np.int32(0): np.int64(3), np.int32(1): np.int64(0), np.int32(2): np.int64(1), np.int32(3): np.int64(2)}",64,50,300,0.0,2.0261
MiniBatchKMeans,4,0.69875,0.597998,0.404863,0.047647,"{np.int32(0): np.int64(3), np.int32(1): np.int64(0), np.int32(2): np.int64(1), np.int32(3): np.int64(2)}",64,50,500,0.0,1.5287
MiniBatchKMeans,4,0.6975,0.591624,0.398176,0.047726,"{np.int32(0): np.int64(3), np.int32(1): np.int64(0), np.int32(2): np.int64(1), np.int32(3): np.int64(2)}",64,20,300,0.0,0.7234
MiniBatchKMeans,4,0.6975,0.591624,0.398176,0.047726,"{np.int32(0): np.int64(3), np.int32(1): np.int64(0), np.int32(2): np.int64(1), np.int32(3): np.int64(2)}",64,20,500,0.0,0.7624
MiniBatchKMeans,4,0.69375,0.547024,0.371646,0.048707,"{np.int32(0): np.int64(1), np.int32(1): np.int64(0), np.int32(2): np.int64(2), np.int32(3): np.int64(3)}",256,50,300,0.0,8.7353
MiniBatchKMeans,4,0.69375,0.547024,0.371646,0.048707,"{np.int32(0): np.int64(1), np.int32(1): np.int64(0), np.int32(2): np.int64(2), np.int32(3): np.int64(3)}",256,50,500,0.0,7.7155
MiniBatchKMeans,4,0.6025,0.435527,0.185798,0.046761,"{np.int32(0): np.int64(1), np.int32(1): np.int64(2), np.int32(2): np.int64(3), np.int32(3): np.int64(0)}",128,20,300,0.0,1.055
MiniBatchKMeans,4,0.6025,0.435527,0.185798,0.046761,"{np.int32(0): np.int64(1), np.int32(1): np.int64(2), np.int32(2): np.int64(3), np.int32(3): np.int64(0)}",128,20,500,0.0,2.5021
MiniBatchKMeans,4,0.5675,0.527758,0.313799,0.035477,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",800,50,300,0.0,6.5795
MiniBatchKMeans,4,0.5675,0.527758,0.313799,0.035477,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",800,50,500,0.0,6.6372
MiniBatchKMeans,4,0.56625,0.524661,0.310573,0.035403,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",512,50,300,0.0,6.7986
MiniBatchKMeans,4,0.56625,0.524661,0.310573,0.035403,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",512,50,500,0.0,6.6427
MiniBatchKMeans,4,0.565,0.524397,0.31396,0.035921,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",800,20,300,0.0,3.436
MiniBatchKMeans,4,0.565,0.524397,0.31396,0.035921,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",800,20,500,0.0,3.1702
MiniBatchKMeans,4,0.565,0.523493,0.313141,0.03565,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",512,20,300,0.0,2.8547
MiniBatchKMeans,4,0.565,0.523493,0.313141,0.03565,"{np.int32(0): np.int64(3), np.int32(1): np.int64(1), np.int32(2): np.int64(0), np.int32(3): np.int64(2)}",512,20,500,0.0,2.6464
